time,page 
0,128.19630434782604 
10,119.04272222222224 
20,92.38177499999999 
30,119.38985294117647 
40,150.51913725490192 
50,183.77755670103087 
60,138.6003888888889 
70,524.38925 
80,592.1399176470594 
90,513.071284848485 
100,2691.773374233131 
110,5520.6141862068935 
120,4399.850400000003 
130,2913.9863886925814 
140,3072.4912057488664 
150,2595.998084112145 
160,1668.1511831325279 
170,1471.138301511536 
180,1125.445304735376 
190,753.4973836846232 
200,825.0546056112237 
210,515.8908890083321 
220,384.92863664063947 
230,396.05203406077726 
240,641.802454320987 
249,4503.597996969701 
