time,page 
0,108.65987186887139 
10,96.89088423227301 
20,81.22516627452589 
30,104.01285758900828 
40,136.77789417290106 
50,212.77876347627878 
60,150.6692000367357 
70,476.7795666838076 
80,562.2607146122479 
90,551.7451171059444 
100,1655.110666080748 
110,3158.159511425498 
120,5270.3554277152525 
130,5135.264184490742 
140,5938.356455168596 
150,5327.0693218205915 
160,3886.386748255313 
170,3637.9302239660055 
180,3250.0948846130623 
190,2539.3728706767192 
200,2543.8391592669573 
210,2000.712906384694 
220,1728.7311724882961 
230,1586.5521340913795 
240,1991.2688209592911 
249,3411.965566538628 
