time,session 
10,7098.165555555555 
20,7798.879571428572 
30,7014.6495 
40,7065.9626 
50,7857.755999999999 
60,8297.216263157892 
70,8802.562444444446 
80,11331.247227272725 
90,10300.84388888889 
100,11316.155200000001 
110,19341.9727 
120,21806.337382352936 
130,20244.803237704935 
140,20547.322238410623 
150,20090.936339285712 
160,14835.952389999995 
170,13042.298199386501 
180,13793.103536231873 
190,10384.669031067955 
200,10015.94456410257 
210,10477.225064013846 
220,15578.55863758389 
230,24406.773578616336 
