time,session 
10,433.72147553959894 
20,1177.0388144318968 
30,1911.8737817901317 
40,1350.257757298302 
50,1350.0436828731226 
60,1359.692355573934 
70,1603.9927097680068 
80,2122.184269116341 
90,2238.006185812925 
100,2085.855837919044 
110,3618.9151206996853 
120,6623.019467107492 
130,11056.766980314867 
140,12651.0609705557 
150,13624.615570453605 
160,11400.214819585171 
170,8970.423477127664 
180,9263.010889418209 
190,6859.231173573881 
200,6119.549191419603 
210,6655.516590816235 
220,8039.140260940899 
230,5803.1686876728 
