time,size_sent,size_rcv 
0,9.26875,1004.39765625 
10,39.91953125,2767.2875 
20,49.04453125,2760.05234375 
30,28.884375,1767.846875 
40,61.01875,4027.18203125 
50,78.0765625,5776.81640625 
60,75.46875,4529.8703125 
70,113.64453125,8780.1765625 
80,172.4484375,11038.44453125 
90,188.11640625,11086.56875 
100,149.43984375,9553.05625 
110,145.571875,12288.73125 
120,216.36171875,7373.95234375 
130,408.7109375,14733.2125 
140,423.43828125,8551.034375 
150,468.40234375,12352.1328125 
160,680.36640625,9143.084375 
170,709.7296875,9902.33203125 
180,745.1,10483.71171875 
190,1050.18203125,9411.40859375 
200,1135.15390625,11242.178125 
210,962.74921875,8529.115625 
220,298.52890625,12865.89140625 
230,213.54609375,3186.71640625 
