time,page 
0,128.19258333333335 
10,152.38468749999998 
20,133.81300000000002 
30,107.30196 
40,165.31970212765964 
50,283.674380952381 
60,148.74517543859653 
70,1134.5757799999997 
80,1313.242882352942 
90,917.1352160493822 
100,2008.7308932038839 
110,5757.739469565221 
120,5484.174328358209 
130,4179.862571100916 
140,4717.722602564114 
150,3428.338923857865 
160,2077.724253073773 
170,1918.5372961065582 
180,1824.9749216512187 
190,956.0618983146076 
200,1061.0408324607324 
210,1421.6037024673433 
220,6870.991215384615 
230,8189.875515283838 
