time,page 
0,160.47835799646958 
10,183.6602031532072 
20,166.0790226187522 
30,152.12542052779477 
40,211.49959924492134 
50,385.2170074412367 
60,198.84383284483673 
70,1332.3699906243355 
80,1229.9789475953376 
90,1405.387826302479 
100,1780.1972147751997 
110,3210.5312810932064 
120,6669.969271105087 
130,6984.0360343955645 
140,8224.406060219042 
150,6639.107583418176 
160,5063.332180945825 
170,4709.240584288987 
180,4639.387882264275 
190,3245.0132434369093 
200,3586.125908902541 
210,3916.0950197173484 
220,7811.220703575303 
230,7421.467669101922 
