time,size_sent,size_rcv 
0,14.6125,44.209375 
10,40.54765625,101.0203125 
20,65.05703125,178.07734375 
30,17.6625,36.15546875 
40,89.0078125,247.7953125 
50,112.76328125,312.7265625 
60,101.6875,269.67890625 
70,151.37890625,411.1171875 
80,197.65390625,508.38359375 
90,200.9078125,560.63359375 
100,386.190625,1025.16875 
110,379.7453125,990.9984375 
120,335.4546875,907.75859375 
130,507.8625,1413.3171875 
140,482.3515625,1378.71484375 
150,610.95078125,1330.19921875 
160,918.43125,1563.99921875 
170,1195.678125,2160.48671875 
180,1320.10859375,2048.21328125 
190,1824.55859375,3195.06171875 
200,1848.05078125,3013.54921875 
210,2224.69921875,3443.5515625 
220,2899.6515625,4376.2953125 
230,2974.8140625,4432.14296875 
