time,size_sent,size_rcv 
0,14.6125,44.209375 
10,55.16015625,145.2296875 
20,120.2171875,323.30703125 
30,137.8796875,359.4625 
40,226.8875,607.2578125 
50,339.65078125,919.984375 
60,441.33828125,1189.66328125 
70,592.7171875,1600.78046875 
80,790.37109375,2109.1640625 
90,991.27890625,2669.79765625 
100,1377.46953125,3694.96640625 
110,1757.21484375,4685.96484375 
120,2092.66953125,5593.7234375 
130,2600.53203125,7007.040625 
140,3082.88359375,8385.75546875 
150,3693.834375,9715.9546875 
160,4612.265625,11279.95390625 
170,5807.94375,13440.440625 
180,7128.05234375,15488.65390625 
190,8952.6109375,18683.715625 
200,10800.66171875,21697.26484375 
210,13025.3609375,25140.81640625 
220,15925.0125,29517.11171875 
230,18899.8265625,33949.2546875 
