time,connect,request 
0,11.333,241.846 
10,11.333,241.846 
20,11.333,241.846 
30,11.333,242.261 
40,11.333,447.845 
50,11.333,447.845 
60,21.838,447.845 
70,21.838,803.331 
80,21.838,803.331 
90,21.838,1143.244 
100,21.838,2925.624 
110,21.838,4858.389 
120,21.838,5225.914 
130,21.838,6797.952 
140,21.838,6797.952 
150,21.838,6797.952 
160,21.838,7216.753 
170,21.838,7216.753 
180,21.838,7216.753 
190,21.838,7216.753 
200,21.838,7216.753 
210,21.838,7216.753 
220,21.838,7216.753 
230,21.838,7216.753 
240,21.838,7216.753 
245,21.838,7216.753 
