time,session 
0,6068.312833333333 
10,5233.259615384616 
20,5554.5432 
30,5197.808 
40,5866.655937499999 
50,5542.288111111111 
60,6005.4280384615395 
70,6151.4148611111095 
80,6079.2082222222225 
90,6845.250342857141 
100,11260.750173913042 
110,18660.283279999996 
120,18912.495387499996 
130,16751.050509433942 
140,20200.703272151903 
150,15397.690620370358 
160,12361.732313725488 
170,11593.036082111435 
180,9908.353889162567 
190,8733.85406178861 
200,9020.482171516089 
210,7789.506435382681 
220,7283.058875389416 
230,7006.214005494505 
240,8203.534710762335 
245,11641.488571428572 
