time,page 
0,97.3827894736842 
10,75.90929268292685 
20,80.484 
30,98.4348148148148 
40,114.30265217391303 
50,90.6347882352941 
60,100.19034126984128 
70,186.82520129870127 
80,131.38316197183104 
90,499.3637424242424 
100,1970.5462304347832 
110,4462.208216589863 
120,2930.5028749999988 
130,2664.7029658753695 
140,3922.7597768595065 
150,1679.8889535104365 
160,1538.7237785658006 
170,1490.859049808427 
180,910.739176035502 
190,850.9506600312238 
200,778.1900847730026 
210,501.5178149769034 
220,378.7631115023473 
230,406.15204754326766 
240,1065.9477309552567 
245,38.746789473684224 
