time,session 
0,1049.8021787458604 
10,968.7871152380196 
20,819.5454403604679 
30,1030.2385805276126 
40,714.6822754975536 
50,1118.001308194822 
60,983.5202310823144 
70,978.1559098298743 
80,901.9464818497976 
90,1150.2402733406652 
100,1497.8255207974762 
110,2329.4151046352054 
120,2533.565689735544 
130,8227.564359345804 
140,8589.676701570146 
150,9313.781822774416 
160,8424.591526251827 
170,6691.410872392342 
180,5643.961238464265 
190,4766.6858929341815 
200,4056.1233187350936 
210,3943.6813101794346 
220,3173.623488470134 
230,2764.729088680108 
240,2665.364814781084 
247,1264.6315144304288 
