time,page 
0,101.47561879430694 
10,93.11930005188692 
20,81.11703526385973 
30,91.10290684931552 
40,115.95044314734841 
50,122.30839228893439 
60,201.1655217557462 
70,163.9993061327723 
80,175.51022021539563 
90,321.57816629624193 
100,630.8011268219294 
110,1689.9102730077113 
120,2644.556374292616 
130,3795.304644003347 
140,5231.458073172568 
150,3717.3461866436287 
160,3189.2060210043724 
170,2821.7374465010744 
180,2362.6205242252395 
190,1841.0381394740455 
200,1968.680465105808 
210,1588.5317036391186 
220,1356.548108868217 
230,1185.9280686242607 
240,1442.05785899045 
247,566.5735825092493 
