time,size_sent,size_rcv 
0,5.07578125,35.4484375 
10,27.54921875,136.5609375 
20,59.38515625,240.0265625 
30,101.6984375,410.68828125 
40,161.86328125,618.7953125 
50,225.5515625,822.846875 
60,299.73671875,1125.53828125 
70,421.07734375,1595.29140625 
80,579.7359375,2130.3328125 
90,752.24765625,2743.775 
100,995.50234375,3743.159375 
110,1343.0296875,4923.42109375 
120,1714.6953125,6183.671875 
130,2201.5734375,8170.77578125 
140,2870.459375,10353.07265625 
150,3545.36875,12683.1359375 
160,4354.37265625,15877.18125 
170,5324.296875,19053.56796875 
180,6485.3953125,22532.99609375 
190,8106.15390625,26126.66953125 
200,10188.14921875,30369.57734375 
210,12582.34375,34726.6703125 
220,15286.484375,39608.10390625 
230,18637.00234375,45000.00546875 
240,21519.76171875,50558.70390625 
250,24283.58828125,54575.96484375 
260,24643.31640625,54962.3734375 
270,24643.31640625,54962.3734375 
