time,connect,request 
0,1.219,8.025 
10,1.162,6.585 
20,1.082,6.585 
30,1.082,6.326 
40,1.082,6.196 
50,1.082,6.196 
60,1.061,6.08 
70,0.933,5.857 
80,0.933,5.81 
90,0.933,5.638 
100,0.933,5.638 
110,0.933,5.638 
120,0.933,5.638 
130,0.916,5.638 
140,0.916,5.638 
150,0.9,5.638 
160,0.9,5.518 
170,0.9,5.518 
180,0.9,5.518 
190,0.703,1.078 
200,0.703,0.189 
210,0.69,0.095 
220,0.683,0.085 
230,0.674,0.085 
240,0.674,0.085 
250,0.674,0.085 
260,0.674,0.085 
270,0.674,0.085 
280,0.674,0.085 
290,0.674,0.085 
295,0.674,0.085 
