time,session 
10,0 
20,1244.1763515854525 
30,1242.9969280627708 
40,1538.355271052334 
50,1288.0266705419858 
60,2387.679869799512 
70,2371.373760491374 
80,1626.4148576103194 
90,1779.31601307157 
100,2055.8679079928625 
110,1703.820935100053 
120,1956.6456167063413 
130,1873.8228870490227 
140,1755.4336178595397 
150,1657.0558171518962 
160,1952.286224134256 
170,1965.649425638731 
180,2006.0513361035737 
190,2324.6442292885044 
200,2349.585780926638 
210,2229.911961738916 
220,2995.5269080070966 
230,3912.465771772732 
240,3514.3314192413277 
250,3320.2617610194397 
260,2167.43464665238 
270,97.13700000000154 
280,0 
290,0 
295,0 
