time,freemem@tsung_controller@ip-172-31-50-170 
0,664.0234375 
10,664.58203125 
20,664.58203125 
30,664.58203125 
40,664.58203125 
50,664.58203125 
60,664.58203125 
70,664.58203125 
80,664.58203125 
90,664.58203125 
100,664.58203125 
110,664.58203125 
120,664.58203125 
130,664.58203125 
140,664.58203125 
150,664.58203125 
160,664.58203125 
170,664.58203125 
180,664.58203125 
190,664.58203125 
200,664.58203125 
210,664.58203125 
220,664.58203125 
230,664.58203125 
240,664.58203125 
250,664.58203125 
260,664.58203125 
270,693.265625 
280,696.37109375 
290,697.15625 
295,697.15625 
