time,freemem@tsung_controller@ip-172-31-50-170 
0,664.0234375 
10,664.58203125 
20,660.0390625 
30,658.05078125 
40,661.91015625 
50,659.38671875 
60,657.19140625 
70,657.0703125 
80,653.79296875 
90,648.41015625 
100,641.06640625 
110,627.83984375 
120,608.69140625 
130,603.421875 
140,570.51171875 
150,528.890625 
160,526.10546875 
170,487.19921875 
180,439.97265625 
190,391.53515625 
200,323.28125 
210,286.6640625 
220,224.859375 
230,153.9375 
240,48.20703125 
250,36.88671875 
260,402.53125 
270,693.265625 
280,696.37109375 
290,697.15625 
295,696.4765625 
