time,session 
20,17036.517454545457 
30,17242.890866666672 
40,17449.1565 
50,17701.7591 
60,18114.054947368422 
70,17581.2169 
80,17413.998914285712 
90,18166.979209302328 
100,17539.97257894737 
110,17992.91215189873 
120,18252.23996721311 
130,20717.831819999985 
140,24233.77305172414 
150,28463.30730909091 
160,29431.50813548386 
170,28641.1188815166 
180,26080.707297814184 
190,24699.338019230756 
200,22027.815116451027 
210,21634.813572713607 
220,20754.741328317345 
230,19779.663987511176 
240,19993.292947541 
250,19562.543070542662 
260,21392.773521326995 
270,0 
280,0 
290,0 
293,0 
