time,size_sent,size_rcv 
0,3.7,29.20703125 
10,23.4421875,110.16796875 
20,49.621875,182.59609375 
30,45.10234375,134.9390625 
40,58.7109375,249.87890625 
50,75.82265625,225.26796875 
60,84.24140625,321.88046875 
70,126.67578125,521.39375 
80,159.45859375,500.075 
90,184.94921875,705.1046875 
100,250.4765625,967.22890625 
110,303.403125,947.06484375 
120,318.6328125,1121.31484375 
130,393.00546875,1550.80859375 
140,477.06953125,1591.5265625 
150,544.53203125,1814.27109375 
160,784.69609375,1673.2046875 
170,934.0984375,1947.68125 
180,1216.040625,2023.2375 
190,1328.9296875,2357.2484375 
200,1599.93671875,2520.6921875 
210,1810.63359375,2837.915625 
220,2073.5375,3358.796875 
230,2374.328125,4045.71171875 
240,2158.51640625,3515.521875 
250,2310.36640625,3615.9640625 
260,338.3484375,336.75078125 
270,0,0 
280,0,0 
290,0,0 
293,0,0 
