time,page 
0,90.56531424370603 
10,85.5282341777972 
20,83.0546997146021 
30,65.98768297385875 
40,88.28799352298618 
50,67.17603698078487 
60,83.97459832883386 
70,84.65546408536098 
80,76.62461883585111 
90,170.1054008880341 
100,108.51822980100961 
110,106.34719234218849 
120,307.0065746476026 
130,741.8783242929036 
140,825.2415000392465 
150,1374.9253439213774 
160,1719.7159098037052 
170,1604.72332646981 
180,1401.6285793460868 
190,1362.3518398304166 
200,1198.0730201162655 
210,1074.8972884378907 
220,963.8040718183327 
230,934.060964810992 
240,889.866043439524 
250,316.0039081435577 
260,4.237828043460777 
270,0 
280,0 
290,0 
293,0 
