time,freemem@tsung_controller@ip-172-31-45-17 
0,672.91015625 
10,674.765625 
20,668.4765625 
30,663.96484375 
40,666.3828125 
50,659.73046875 
60,659.14453125 
70,656.5 
80,647.109375 
90,643.82421875 
100,635.359375 
110,618.75 
120,619.37890625 
130,598.34375 
140,563.34765625 
150,524.6953125 
160,504.71484375 
170,485.80078125 
180,484.91796875 
190,478.6875 
200,450.8046875 
210,417.24609375 
220,400.92578125 
230,365.84375 
240,326.91796875 
250,311.1640625 
260,587.9375 
270,648.73828125 
280,651.92578125 
290,653.71875 
293,654.2890625 
