time,freemem@tsung_controller@ip-172-31-45-17 
0,672.91015625 
10,672.91015625 
20,668.4765625 
30,663.96484375 
40,663.96484375 
50,659.73046875 
60,659.14453125 
70,656.5 
80,647.109375 
90,643.82421875 
100,635.359375 
110,618.75 
120,618.75 
130,598.34375 
140,563.34765625 
150,524.6953125 
160,504.71484375 
170,485.80078125 
180,484.91796875 
190,478.6875 
200,450.8046875 
210,417.24609375 
220,400.92578125 
230,365.84375 
240,326.91796875 
250,311.1640625 
260,311.1640625 
270,311.1640625 
280,311.1640625 
290,311.1640625 
293,311.1640625 
