time,session 
20,1984.397953600074 
30,1350.7798605197922 
40,1187.2526530016914 
50,1747.9318292128062 
60,1716.2179635596044 
70,1526.2382296984933 
80,1852.4988090963473 
90,2021.4962153066015 
100,1959.040725576262 
110,2007.3636815231662 
120,1976.9106589831586 
130,1859.9267693243514 
140,1795.7435141562628 
150,1932.890402485286 
160,1881.9870662438743 
170,1965.4293048974016 
180,1979.8366400847826 
190,2153.8027202219746 
200,2447.3631719147465 
210,2466.727615516847 
220,3446.733521673016 
230,5401.586286932934 
240,5014.63342396007 
