time,size_sent,size_rcv 
0,5.3578125,44.571875 
10,26.8640625,183.08203125 
20,64.67734375,361.18984375 
30,96.10234375,504.31171875 
40,135.04453125,747.321875 
50,207.21875,1124.79140625 
60,287.64296875,1542.034375 
70,406.2640625,2216.24296875 
80,566.821875,2987.14453125 
90,724.95703125,3846.97890625 
100,962.15078125,5129.028125 
110,1275.22421875,6728.3734375 
120,1659.33046875,8765.028125 
130,2169.4390625,11493.796875 
140,2813.23671875,14718.26015625 
150,3534.5046875,18517.0703125 
160,4480.425,23701.8046875 
170,5734.9421875,30067.45390625 
180,7160.71171875,37119.6 
190,8734.903125,44978.76171875 
200,10456.27734375,53350.25 
210,12550.7140625,62248.12578125 
220,15739.72265625,71519.36484375 
230,19931.55859375,83182.5375 
240,24033.32421875,94225.91796875 
