time,connect,request 
0,25.974,480.791 
10,25.974,480.791 
20,25.974,608.374 
30,25.974,608.374 
40,25.974,608.374 
50,25.974,739.881 
60,25.974,739.881 
70,25.974,739.881 
80,25.974,1116.252 
90,25.974,1852.65 
100,25.974,3953.642 
110,25.974,5862.882 
120,25.974,8412.935 
130,25.974,9511.285 
140,25.974,9511.285 
150,25.974,9511.285 
160,25.974,9511.285 
170,25.974,9511.285 
180,25.974,9511.285 
190,25.974,9511.285 
200,25.974,9511.285 
210,25.974,9511.285 
220,25.974,9511.285 
230,25.974,9664.411 
240,25.974,9664.411 
250,25.974,9664.411 
260,25.974,9664.411 
269,25.974,9664.411 
