time,session 
20,2177.31115422321 
30,1742.2720967242694 
40,3025.721308961303 
50,1626.6136957012857 
60,2258.399532532159 
70,1727.9399612362922 
80,1814.2337205884232 
90,2159.7588134977545 
100,1758.3484748389744 
110,2754.16369838806 
120,3665.5501866726954 
130,5004.778719793376 
140,10062.63244474058 
150,10695.892281379425 
160,10398.504280501906 
170,8976.022130029396 
180,6732.117981883499 
190,6873.612022690579 
200,6147.890867219826 
210,5038.793267559544 
220,5076.4417079608065 
230,4102.6074685448375 
240,3440.2721743942884 
250,1793.3845000000001 
260,0 
269,0 
