time,size_sent,size_rcv 
0,7.46171875,1498.65546875 
10,28.20390625,3012.55234375 
20,43.34375,3037.20703125 
30,37.7984375,1540.71328125 
40,39.52578125,5246.34609375 
50,62.5296875,3322.871875 
60,72.9828125,6051.21640625 
70,105.69921875,9082.50390625 
80,123.27265625,8860.17421875 
90,145.49453125,10117.71484375 
100,143.3890625,10836.26328125 
110,144.66875,11354.2828125 
120,171.82109375,8614.10078125 
130,289.903125,12696.18203125 
140,372.81171875,10575.11875 
150,480.5203125,10708.5875 
160,559.88203125,9567.6578125 
170,638.53671875,10661.13515625 
180,653.02421875,11996.85859375 
190,838.0640625,9283.04765625 
200,935.45,12711.7140625 
210,1099.79921875,11193.55859375 
220,839.15546875,7549.659375 
230,642.425,8986.98515625 
240,129.609375,107.71484375 
250,1.7859375,0.3609375 
260,0,0 
269,0,0 
