time,session 
20,19323.3729 
30,19041.51766666667 
40,16877.314499999997 
50,17983.545666666672 
60,17778.193090909088 
70,17228.41142105263 
80,17938.729999999996 
90,17948.441386363636 
100,17431.418159090903 
110,17991.219269841273 
120,18126.248583333323 
130,19990.710029411774 
140,24845.239127659577 
150,28619.463739130435 
160,29769.41940410959 
170,26869.975804270452 
180,26018.48506233766 
190,24433.89767251462 
200,22302.862732580048 
210,21849.67430932896 
220,20720.48445405403 
230,19817.95702107925 
240,19933.46624396338 
