time,size_sent,size_rcv 
0,7.53125,51.03671875 
10,32.84296875,164.89140625 
20,72.72734375,287.73671875 
30,126.790625,476.0296875 
40,196.33359375,746.7078125 
50,289.55625,1026.3671875 
60,380.18125,1351.3765625 
70,502.7109375,1792.65625 
80,661.91484375,2332.2890625 
90,853.59765625,2950.73671875 
100,1083.93046875,3733.74296875 
110,1332.51484375,4532.7046875 
120,1614.38828125,5620.08984375 
130,1992.309375,6884.3390625 
140,2453.68359375,8318.06875 
150,3044.315625,9984.096875 
160,3874.365625,11584.8140625 
170,4912.4546875,13482.8828125 
180,6144.02734375,15556.71796875 
190,7431.421875,17610.68671875 
200,9001.98046875,19943.9859375 
210,10783.92109375,22681.8296875 
220,12867.5015625,25960.04375 
230,15397.378125,29966.83515625 
240,17516.76328125,33479.93359375 
