time,session 
20,1578.0158241355791 
30,1381.9903055902944 
40,1523.0999895903908 
50,1965.6180269733013 
60,1514.7567940677327 
70,2140.7468760069473 
80,1625.6851989720426 
90,2143.6461373516495 
100,1882.1740405006624 
110,1629.753940402838 
120,2067.9229901092785 
130,2677.518176269697 
140,2396.774430043629 
150,2158.2351299607344 
160,4496.236935382689 
170,6069.218596128918 
180,5169.616982277032 
190,5350.1842975766185 
200,4481.34880374085 
210,4246.172480380655 
220,4076.596334710151 
230,3331.316558633253 
240,3327.3339815809063 
