time,page 
0,84.6056818181818 
10,62.909314814814834 
20,41.404463768115924 
30,53.67492631578948 
40,59.083392592592595 
50,43.468745098039214 
60,53.55493413173651 
70,53.11885652173915 
80,59.64163003663004 
90,63.9612035928143 
100,74.2307604938272 
110,59.84524528301888 
120,355.3652055045873 
130,1112.474629230769 
140,1827.4799348658994 
150,1893.667040160641 
160,1327.4920768072304 
170,1117.2915410958901 
180,895.4553332100571 
190,724.9733389830516 
200,613.5163776435024 
210,448.32794988407187 
220,344.53731434184726 
230,293.0220122118235 
240,466.210654146839 
