time,connect,request 
0,1.043,7.028 
10,1.043,7.028 
20,1.043,7.028 
30,1.043,7.028 
40,1.043,7.028 
50,1.043,6.931 
60,0.937,6.931 
70,0.937,6.931 
80,0.937,6.931 
90,0.937,6.931 
100,0.917,6.931 
110,0.917,6.931 
120,0.898,0.587 
130,0.898,0.585 
140,0.898,0.577 
150,0.889,0.571 
160,0.879,0.569 
170,0.846,0.553 
180,0.684,0.553 
190,0.672,0.548 
200,0.672,0.548 
210,0.646,0.548 
220,0.643,0.548 
230,0.643,0.548 
240,0.643,0.548 
250,0.643,0.548 
260,0.643,0.548 
270,0.643,0.548 
280,0.643,0.548 
290,0.643,0.548 
292,0.643,0.548 
