time,session 
10,15886.015500000001 
20,17917.418555555556 
30,17884.273624999998 
40,18161.219363636363 
50,17817.03613333333 
60,18340.565142857144 
70,17501.364 
80,18568.325148148146 
90,18685.356466666668 
100,20101.150999999998 
110,23759.640352941173 
120,28166.21036170211 
130,30910.911540000012 
140,32345.959773809525 
150,29294.92554143647 
160,29006.31610648147 
170,24173.894836298932 
180,23362.588768571437 
190,22821.0012554945 
200,20730.08380155642 
210,21017.65241552511 
220,20065.837255617942 
230,19068.167987353198 
240,19298.1333300493 
250,19983.103052188537 
260,22414.5758852459 
270,0 
280,0 
290,0 
292,0 
