time,session 
10,666.3414999999991 
20,1816.6387175751645 
30,2247.558666045279 
40,1817.0511836463486 
50,1959.1410068576097 
60,1690.1272686495436 
70,2508.6803833887884 
80,1728.8433141874714 
90,1843.6580394631885 
100,1962.503304340498 
110,2057.8508959265487 
120,2317.9826878215863 
130,3644.848214319625 
140,6775.6634665572465 
150,6439.470698346942 
160,7726.289202640677 
170,6930.655338282374 
180,5701.194525739021 
190,5802.348895669837 
200,5078.482419312213 
210,4469.23710419158 
220,4168.6275687667685 
230,3460.3715131835174 
240,3415.602915962947 
250,2878.025556006108 
260,2414.1313866721457 
270,0 
280,0 
290,0 
292,0 
