time,size_sent,size_rcv 
0,5.153125,36.50625 
10,21.325,90.58515625 
20,37.46640625,126.959375 
30,39.08515625,130.17265625 
40,65.40625,302.74765625 
50,90.6875,291.6078125 
60,92.24140625,311.225 
70,87.9515625,300.57890625 
80,126.4734375,496.73359375 
90,175.25546875,566.10390625 
100,197.88203125,750.7421875 
110,235.63359375,910.353125 
120,285.58125,829.51328125 
130,324.4046875,618.03984375 
140,426.9546875,1103.26796875 
150,628.2171875,1115.4484375 
160,756.31796875,1106.95 
170,776.2375,1216.85 
180,846.25625,1422.84609375 
190,987.67578125,1586.053125 
200,1124.5578125,1898.72890625 
210,1359.521875,2208.11484375 
220,1627.3984375,2820.9109375 
230,1881.38046875,3228.85078125 
240,1629.97265625,2957.21875 
250,1903.459375,2774.7109375 
260,283.53046875,279.0515625 
270,0,0 
280,0,0 
290,0,0 
292,0,0 
