time,size_sent,size_rcv 
0,5.153125,36.50625 
10,26.478125,127.09140625 
20,63.94453125,254.05078125 
30,103.0296875,384.2234375 
40,168.4359375,686.97109375 
50,259.1234375,978.57890625 
60,351.36484375,1289.80390625 
70,439.31640625,1590.3828125 
80,565.78984375,2087.11640625 
90,741.0453125,2653.2203125 
100,938.92734375,3403.9625 
110,1174.5609375,4314.315625 
120,1460.1421875,5143.82890625 
130,1784.546875,5761.86875 
140,2211.5015625,6865.13671875 
150,2839.71875,7980.58515625 
160,3596.03671875,9087.53515625 
170,4372.27421875,10304.38515625 
180,5218.53046875,11727.23125 
190,6206.20625,13313.284375 
200,7330.7640625,15212.01328125 
210,8690.2859375,17420.128125 
220,10317.684375,20241.0390625 
230,12199.06484375,23469.88984375 
240,13829.0375,26427.10859375 
250,15732.496875,29201.81953125 
260,16016.02734375,29480.87109375 
270,16016.02734375,29480.87109375 
280,16016.02734375,29480.87109375 
290,16016.02734375,29480.87109375 
292,16016.02734375,29480.87109375 
