time,freemem@tsung_controller@ip-172-31-50-238 
0,674.71875 
10,674.71875 
20,674.71875 
30,674.71875 
40,674.71875 
50,674.71875 
60,674.71875 
70,674.71875 
80,674.71875 
90,674.71875 
100,674.71875 
110,674.71875 
120,674.71875 
130,674.71875 
140,674.71875 
150,674.71875 
160,674.71875 
170,674.71875 
180,674.71875 
190,674.71875 
200,674.71875 
210,674.71875 
220,674.71875 
230,674.71875 
240,674.71875 
250,674.71875 
260,674.71875 
270,674.71875 
280,674.71875 
290,674.71875 
292,674.71875 
