time,size_sent,size_rcv 
0,4.30859375,27.4625 
10,23.34375,115.55859375 
20,44.69921875,142.3921875 
30,41.70703125,144.44140625 
40,57.99375,218.7453125 
50,80.22890625,251.31171875 
60,79.4671875,247.63984375 
70,104.7984375,425.89140625 
80,156.43125,527.29296875 
90,178.44296875,578.95625 
100,209.2421875,754.5984375 
110,216.1296875,678.51796875 
120,247.94765625,796.91015625 
130,389.80234375,797.66328125 
140,433.32734375,1092.534375 
150,621.70234375,1028.80390625 
160,689.34375,1058.975 
170,785.19140625,1298.76015625 
180,896.56328125,1364.74921875 
190,1050.396875,1619.34375 
200,1211.85546875,1814.36875 
210,1469.98125,2190.6078125 
220,1675.7765625,2734.940625 
230,1962.53203125,3151.88125 
240,1742.0671875,2759.725 
250,1693.0828125,2786.99765625 
260,663.75078125,745.96015625 
270,2.1375,2.275 
280,0,0 
