time,freemem@tsung_controller@ip-172-31-32-225 
0,690.16015625 
10,689.6015625 
20,682.98046875 
30,680.76953125 
40,678.65234375 
50,675.77734375 
60,671.71484375 
70,670.7890625 
80,663.14453125 
90,655.19921875 
100,652.86328125 
110,635.76953125 
120,619.171875 
130,592.578125 
140,573.41015625 
150,547.484375 
160,562.0703125 
170,558.79296875 
180,560.59765625 
190,554.65234375 
200,525.390625 
210,501.0625 
220,479.98046875 
230,429.265625 
240,406.7890625 
250,408.25390625 
260,475.39453125 
270,662.296875 
280,663.25390625 
